,FI_P2HT_OTH,FI_STUR_BIO_CHP,FI_COMC_GAS_CHP
2016-03-16 14:00:00,4258.361691309299,5418.913154584221,403.7145627978891
2016-03-16 15:00:00,4397.546868642123,5596.0311269516815,416.91003257903645
2016-03-16 16:00:00,4411.289202606629,5613.518724223406,418.212876430846
2016-03-16 17:00:00,4358.786439511463,5546.707134646819,413.23534479188146
2016-03-16 18:00:00,4184.364508423495,5324.749169274938,396.6992497496842
2016-03-16 19:00:00,3817.1975342948813,4857.516442168875,361.8899345295434
2016-03-16 20:00:00,3083.215953575206,3923.4993878867963,292.3047103418725
2016-03-16 21:00:00,2547.617296496999,3241.931494219604,241.52720637391292
2016-03-16 22:00:00,2437.3262572433946,3101.5823161157678,231.07104930682655
2016-03-16 23:00:00,2517.3136882675744,3203.3691002358028,238.65426864941
2016-03-17 00:00:00,2572.9877592007033,3274.2162891827866,243.93245656186892
2016-03-17 01:00:00,2757.6283488776644,3509.17785252595,261.4373329297708
2016-03-17 02:00:00,3144.5279051091593,4001.5209757144876,298.11739829609945
2016-03-17 03:00:00,4231.229390917837,5384.386359970817,401.14228134688057
2016-03-17 04:00:00,5028.9894959343255,6399.563801590898,476.774037257052
2016-03-17 05:00:00,4883.109335388024,6213.926230552596,462.9438486763051
2016-03-17 06:00:00,4804.53137451405,6113.933046152739,455.49425434416366
2016-03-17 07:00:00,4616.014741924023,5874.0390835790895,437.6219091975463
2016-03-17 08:00:00,4405.298954468255,5605.895925412655,417.6449701364675
2016-03-17 09:00:00,4234.753066293352,5388.870359271259,401.47634387298564
2016-03-17 10:00:00,4123.404924427093,5247.17598137729,390.91996804806763
2016-03-17 11:00:00,4052.2266818417,5156.599195508361,384.17190502074675
2016-03-17 12:00:00,4085.701597909088,5199.19718886256,387.34549901874425
2016-03-17 13:00:00,4129.395172565468,5254.798780188042,391.48787434244616
2016-03-17 14:00:00,4282.67505140035,5449.852749757271,406.01959422801355
2016-03-17 15:00:00,4381.690329452307,5575.853130099693,415.406751211564
2016-03-17 16:00:00,4365.833790262492,5555.675133247703,413.9034698440915
2016-03-17 17:00:00,4317.2070700803915,5493.795942901603,409.29340698384254
2016-03-17 18:00:00,4180.136097972877,5319.368370114407,396.2983747183581
2016-03-17 19:00:00,3785.8368234528016,4817.608848394942,358.91677804720894
2016-03-17 20:00:00,3071.235457298457,3908.253790265293,291.1688977531155
