PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,RampUpMax,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,Extendable,Investment,FixedCost,EconomicLifetime
139.0,CURBANS,FR,HDAM,WAT,0.85,0,0,0.6474820144,0.6474820144,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,57546.0,0.0,0.0,0.86,,,,
134.0,BRENNILIS 3,FR,STUR,OIL,0.41,8,6,0.0373134328,0.0373134328,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
132.0,SAINTE CROIX,FR,HDAM,WAT,0.85,0,0,0.6818181818000001,0.6818181818000001,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,54648.0,0.0,0.0,0.86,,,,
132.0,MONTPEZAT,FR,HDAM,WAT,0.85,0,0,0.6818181818000001,0.6818181818000001,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,54648.0,0.0,0.0,0.86,,,,
130.0,AMFARD15,FR,COMC,GAS,0.525,5,1,0.08592307689999999,0.08592307689999999,112542.12,0,0,0.4,0.525,1.0,670.2,0.45,,,,,,,,,,
130.0,AMFARD14,FR,COMC,GAS,0.525,5,1,0.08592307689999999,0.08592307689999999,112542.12,0,0,0.4,0.525,1.0,670.2,0.45,,,,,,,,,,
129.0,ARRIGHI 2,FR,STUR,OIL,0.41,8,6,0.038759689900000005,0.038759689900000005,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
126.0,AVIGNON,FR,HROR,WAT,1.0,0,0,1.7460317459999999,1.7460317459999999,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
125.0,ARRIGHI 1,FR,STUR,OIL,0.41,8,6,0.04,0.04,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
124.0,RANDENS,FR,HROR,WAT,1.0,0,0,1.7741935484,1.7741935484,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
123.0,COMBE D'AVRIEUX,FR,HDAM,WAT,0.85,0,0,0.7317073170999999,0.7317073170999999,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,50922.0,0.0,0.0,0.86,,,,
122.0,SAINT-PIERRE,FR,HROR,WAT,1.0,0,0,1.8032786884999998,1.8032786884999998,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
119.0,COUESQUE,FR,HROR,WAT,1.0,0,0,1.8487394958,1.8487394958,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
116.0,SAINT GUILLERME,FR,HDAM,WAT,0.85,0,0,0.7758620690000001,0.7758620690000001,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,48024.0,0.0,0.0,0.86,,,,
116.0,HERMILLON,FR,HROR,WAT,1.0,0,0,1.8965517241,1.8965517241,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
109.0,PIED DE BORNE,FR,HDAM,WAT,0.85,0,0,0.8256880734,0.8256880734,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,45126.0,0.0,0.0,0.86,,,,
107.0,ST ETIENNE CANTALES,FR,HDAM,WAT,0.85,0,0,0.8411214953,0.8411214953,0.0,0,0,0.0,0.85,0.3,5400.0,0.0,,,44298.0,0.0,0.0,0.86,,,,
104.0,PASSY,FR,HROR,WAT,1.0,0,0,2.1153846154,2.1153846154,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
104.0,ASTON,FR,HROR,WAT,1.0,0,0,2.1153846154,2.1153846154,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
101.0,SAINT PIERRE COGNET,FR,HROR,WAT,1.0,0,0,2.1782178218,2.1782178218,0.0,0,0,0.0,1.0,0.3,13200.0,0.0,,,,,,,,,,
85.0,DIRINON 2,FR,STUR,OIL,0.41,8,6,0.05882352940000001,0.05882352940000001,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
85.0,BRENNILIS 2,FR,STUR,OIL,0.41,8,6,0.05882352940000001,0.05882352940000001,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
85.0,BRENNILIS 1,FR,STUR,OIL,0.41,8,6,0.05882352940000001,0.05882352940000001,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
85.0,DIRINON 1,FR,STUR,OIL,0.41,8,6,0.05882352940000001,0.05882352940000001,35280.965,0,0,0.3,0.41,7.0,300.0,0.79,,,,,,,,,,
62.0,CYCOFOS TV2,FR,Other,Other,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
45.0,SPEM Pointe,FR,COMC,GAS,0.525,5,1,0.24822222219999998,0.24822222219999998,112542.12,0,0,0.4,0.525,1.0,670.2,0.45,,,,,,,,,,
