,DK_P2HT_OTH,DK_STUR_BIO_CHP,DK_COMC_GAS_CHP,DK_ICEN_GAS_CHP
2016-04-23 06:00:00,1684.4941431776645,618.291191218553,333.98988740216777,78.47542042389327
2016-04-23 07:00:00,1546.1357822254595,567.5069506471907,306.55714530405436,72.0297283513742
2016-04-23 08:00:00,1410.04559112493,517.5552386097852,279.57412028951654,65.68970336201119
2016-04-23 09:00:00,1323.0990801440364,485.64164480810945,262.33496541911745,61.63913184102927
2016-04-23 10:00:00,1264.504692309086,464.13465768089316,250.71727409341366,58.909398859497976
2016-04-23 11:00:00,1194.5694552157586,438.46502788389313,236.85099734983174,55.65133046218643
2016-04-23 12:00:00,1150.3401431080865,422.23072147173633,228.08151422010698,53.590822340643456
2016-04-23 13:00:00,1173.399869933454,430.6947615669634,232.65363790312588,54.66510435272997
2016-04-23 14:00:00,1229.7260879167288,451.36922016022277,243.82161214525397,57.2891702511052
2016-04-23 15:00:00,1325.7452783043245,486.6129280977256,262.8596353499556,61.76241010471132
2016-04-23 16:00:00,1426.3008083952714,523.521693103142,282.7970927218086,66.44698412462957
2016-04-23 17:00:00,1518.539715696741,557.3778534840502,301.0855874538842,70.74411217297559
2016-04-23 18:00:00,1493.9678756369233,548.3587943661853,296.2136523818149,69.59938543878505
2016-04-23 19:00:00,1382.0714962875993,507.2873866909852,274.0276095920838,64.38647600308659
2016-04-23 20:00:00,1026.3468578831596,376.71916161543345,203.49698031797251,47.81435512811271
2016-04-23 21:00:00,689.9016632179619,253.22742907851423,136.7889462542541,32.14040445996527
2016-04-23 22:00:00,576.8711989427998,211.7397571363357,114.37804492273519,26.874661482688758
2016-04-23 23:00:00,608.6255768662568,223.39515661173033,120.67408409279402,28.354000646873466
2016-04-24 00:00:00,625.2588224452103,229.50036586074654,123.97200937234862,29.128892590017827
2016-04-24 01:00:00,734.887031942859,269.73924500198996,145.7083350785041,34.23613494256026
2016-04-24 02:00:00,1072.088283225282,393.50848705022804,212.56627483674768,49.94530797175971
2016-04-24 03:00:00,1707.553870003032,626.7552313137801,338.5620110851867,79.54970243597978
2016-04-24 04:00:00,1941.1753647256078,712.5056703113264,384.88287069347666,90.43341200105296
2016-04-24 05:00:00,1896.5680243093234,696.1326091435102,376.0384347164893,88.35529269898397
2016-04-24 06:00:00,1686.76231302934,619.1237197525098,334.4396044857434,78.58108750704932
2016-04-24 07:00:00,1540.8433859048835,565.5643840679584,305.5078054423779,71.7831718240101
2016-04-24 08:00:00,1422.5205253091453,522.1341455465474,282.0475642491826,66.27087231936947
2016-04-24 09:00:00,1331.793731242126,488.833004188277,264.05888090615736,62.04418899312747
2016-04-24 10:00:00,1272.4432867899504,467.0485075497418,252.29128388592835,59.27923365054415
2016-04-24 11:00:00,1222.5435500530896,448.7328798026931,242.3975080472645,56.954557821111045
2016-04-24 12:00:00,1213.4708706463878,445.4027656668661,240.598639712962,56.53188948848685
2016-04-24 13:00:00,1232.3722860770167,452.34050344983905,244.34628207609222,57.41244851478726
2016-04-24 14:00:00,1297.7711834669933,476.3450761789255,257.31312465252284,60.459182745786705
2016-04-24 15:00:00,1377.1571282756356,505.48357486741224,273.05322257766994,64.15753065624847
2016-04-24 16:00:00,1471.664205428781,540.1722637822772,291.7914343933212,68.56032578775057
