,CH_P2HT_OTH,CH_STUR_BIO_CHP,CH_ICEN_GAS_CHP
2016-07-09 15:00:00,1356.9128048306595,92.80744268433826,19.846514666343104
2016-07-09 16:00:00,1410.1637433923277,96.44959523154338,20.625374980283894
2016-07-09 17:00:00,1535.073352364142,104.9929160212838,22.452331272243768
2016-07-09 18:00:00,1555.4533411963855,106.38682625539937,22.750413614616175
2016-07-09 19:00:00,1426.59921825704,97.57371638808817,20.865763966068087
2016-07-09 20:00:00,1091.9729500114947,74.68660964083615,15.971444215501885
2016-07-09 21:00:00,704.7531621988696,48.20231519264079,10.307879710426262
2016-07-09 22:00:00,535.1390615950372,36.601384857098516,7.827065377133375
2016-07-09 23:00:00,567.3525923298736,38.804662323926316,8.298227789270397
2016-07-10 00:00:00,604.825475021418,41.36765856084845,8.846314676858361
2016-07-10 01:00:00,717.244123096051,49.05664727161484,10.490575339622252
2016-07-10 02:00:00,1130.760670692216,77.33953557028188,16.538762221952588
2016-07-10 03:00:00,2008.4150284678606,137.3676053297739,29.375534062828574
2016-07-10 04:00:00,2270.7252073086715,155.30857898822882,33.21214227594432
2016-07-10 05:00:00,2148.4452743152106,146.94511758353556,31.423648221709914
2016-07-10 06:00:00,1788.8370842753025,122.34934667833548,26.16393721275174
2016-07-10 07:00:00,1736.2435647082225,118.75215897739211,25.394692458242318
2016-07-10 08:00:00,1557.4255981801512,106.52172079418476,22.77926029291028
2016-07-10 09:00:00,1474.5908048620004,100.85615016519897,21.567699804557936
2016-07-10 10:00:00,1400.3024584735003,95.77512253761651,20.48114158881338
2016-07-10 11:00:00,1281.9670394475706,87.68145021049399,18.750340891167177
2016-07-10 12:00:00,1247.1238327343804,85.29831335861903,18.240716241304685
2016-07-10 13:00:00,1185.9838662376499,81.11658265627237,17.34646921418748
2016-07-10 14:00:00,1268.1612405612123,86.73718843899637,18.548414143108456
2016-07-10 15:00:00,1373.3482796953717,93.93156384088304,20.086903652127297
2016-07-10 16:00:00,1427.9140562462171,97.66364608061176,20.884995084930825
2016-07-10 17:00:00,1525.2120674453147,104.31844332735695,22.308097880773254
2016-07-10 18:00:00,1603.444927801346,109.66926003251015,23.45234945310602
2016-07-10 19:00:00,1477.877899834943,101.08097439650795,21.61577760171478
2016-07-10 20:00:00,1116.297452811269,76.35030895252245,16.327219914462496
2016-07-10 21:00:00,717.244123096051,49.05664727161484,10.490575339622252
2016-07-10 22:00:00,502.92553086020087,34.39810739027072,7.355902964996354
