,IT_P2HT_OTH,IT_STUR_BIO_CHP,IT_COMC_GAS_CHP,IT_ICEN_GAS_CHP
2016-03-21 23:00:00,20878.56516166305,6270.879100972768,528.2513546158956,426.0323236094058
2016-03-22 00:00:00,22032.026019324407,6617.3211830838645,557.4352212196624,449.5689797721717
2016-03-22 01:00:00,22650.320157816455,6803.025888426505,573.0787634688787,462.1854257039794
2016-03-22 02:00:00,25345.713146444807,7612.587437815646,641.275260040375,517.1855911413235
2016-03-22 03:00:00,31359.683110389025,9418.883908323285,793.4355141322701,639.9021465184577
2016-03-22 04:00:00,42519.403325351006,12770.706973119284,1075.7890798606581,867.6190177305216
2016-03-22 05:00:00,50690.88297642346,15225.011690477211,1282.5367735585626,1034.3600957747983
2016-03-22 06:00:00,49405.93953395096,14839.078801078842,1250.0262485854546,1008.1405047126498
2016-03-22 07:00:00,47940.071708246614,14398.805255371946,1212.9381317239556,978.2291065368879
2016-03-22 08:00:00,44331.363740000386,13314.929461974914,1121.633731355506,904.5925214058982
2016-03-22 09:00:00,41414.840949644204,12438.951554875357,1047.842400253754,845.0801472741377
2016-03-22 10:00:00,39003.60247281843,11714.735841069873,986.8353347862472,795.8782254416576
2016-03-22 11:00:00,37906.6465276379,11385.26501498306,959.0811064899661,773.4945660951554
2016-03-22 12:00:00,38109.30356951622,11446.13307745477,964.2085592658517,777.6298335227164
2016-03-22 13:00:00,38468.43575364913,11553.99846430142,973.2950104316972,784.9580152106995
2016-03-22 14:00:00,39785.43486762517,11949.55927779049,1006.6165802138594,811.8317102359206
2016-03-22 15:00:00,41488.188672576034,12460.981550676112,1049.6981807490477,846.5768258337108
2016-03-22 16:00:00,43174.64298354205,12967.508268939342,1092.3673856186151,880.9893461960402
2016-03-22 17:00:00,44300.39470142916,13305.627908192375,1120.8501795908264,903.9605904585229
2016-03-22 18:00:00,44825.78172420756,13463.427952187396,1134.1430665460043,914.6812435482049
2016-03-22 19:00:00,43312.10204948097,13008.794112921492,1095.8452557320174,883.7942326817583
2016-03-22 20:00:00,39099.76948732906,11743.61961334197,989.2684692134101,797.8405373308756
2016-03-22 21:00:00,29718.867382580596,8926.064743002744,751.921017126441,606.4208928154181
2016-03-22 22:00:00,22965.987024656424,6897.8364629467815,581.0654928597353,468.6266867640674
2016-03-22 23:00:00,19243.725914982395,5779.854972347103,486.88806935412737,392.6730214927018
2016-03-23 00:00:00,20347.201657756872,6111.284020282871,514.8072559166568,415.1897189333883
2016-03-23 01:00:00,20937.786656474676,6288.66628276745,529.7497255343179,427.2407529649129
2016-03-23 02:00:00,23567.43835269746,7078.482428512953,596.2828929211436,480.89945095256576
2016-03-23 03:00:00,29476.004922206303,8853.120979129142,745.7763217086908,601.4652238070544
2016-03-23 04:00:00,40156.52001401363,12061.014738026888,1016.0054548678266,819.4037950965749
2016-03-23 05:00:00,48004.72636771985,14418.224288707424,1214.5739678642515,979.5484009708819
