year,month,day,hour,min,Vertical load [kW],index
2012,10,8,11,30,10454370,719
2012,10,8,11,45,10343040,720
2012,10,8,12,0,10376369,721
2012,10,8,12,15,10202102,722
2012,10,8,12,30,9922806,723
2012,10,8,12,45,9968792,724
2012,10,8,13,0,9951176,725
2012,10,8,13,15,9940981,726
2012,10,8,13,30,9792481,727
2012,10,8,13,45,9758867,728
2012,10,8,14,0,9856324,729
2012,10,8,14,15,9833865,730
2012,10,8,14,30,9828084,731
2012,10,8,14,45,9749619,732
2012,10,8,15,0,9784826,733
2012,10,8,15,15,9826700,734
2012,10,8,15,30,9853635,735
2012,10,8,15,45,9873322,736
2012,10,8,16,0,9993717,737
2012,10,8,16,15,10036528,738
2012,10,8,16,30,10129316,739
2012,10,8,16,45,10275056,740
2012,10,8,17,0,10234410,741
2012,10,8,17,15,10255891,742
2012,10,8,17,30,10519860,743
2012,10,8,17,45,10529320,744
2012,10,8,18,0,10658873,745
2012,10,8,18,15,10607534,746
2012,10,8,18,30,10696329,747
2012,10,8,18,45,10659084,748
2012,10,8,19,0,10993020,749
2012,10,8,19,15,11092832,750
2012,10,8,19,30,11123200,751
2012,10,8,19,45,10959723,752
2012,10,8,20,0,10893425,753
2012,10,8,20,15,10948185,754
2012,10,8,20,30,10716974,755
2012,10,8,20,45,10538433,756
2012,10,8,21,0,10479485,757
2012,10,8,21,15,10213528,758
2012,10,8,21,30,10170693,759
2012,10,8,21,45,10045745,760
2012,10,8,22,0,9858979,761
2012,10,8,22,15,10032190,762
2012,10,8,22,30,10275138,763
2012,10,8,22,45,10126151,764
2012,10,8,23,0,10137904,765
2012,10,8,23,15,10198848,766
2012,10,8,23,30,10006232,767
2012,10,8,23,45,9779518,768
2012,10,9,0,0,9519333,769
2012,10,9,0,15,9331336,770
2012,10,9,0,30,9128124,771
2012,10,9,0,45,9082327,772
2012,10,9,1,0,8791038,773
2012,10,9,1,15,8821706,774
2012,10,9,1,30,8684168,775
2012,10,9,1,45,8445062,776
2012,10,9,2,0,8413536,777
2012,10,9,2,15,8402087,778
2012,10,9,2,30,8333401,779
2012,10,9,2,45,8213242,780
2012,10,9,3,0,8110022,781
2012,10,9,3,15,8013027,782
2012,10,9,3,30,8058984,783
2012,10,9,3,45,8091630,784
2012,10,9,4,0,8097012,785
2012,10,9,4,15,8101409,786
2012,10,9,4,30,8014696,787
2012,10,9,4,45,8165564,788
2012,10,9,5,0,8222378,789
2012,10,9,5,15,8400834,790
2012,10,9,5,30,8371794,791
2012,10,9,5,45,8574223,792
2012,10,9,6,0,8898477,793
2012,10,9,6,15,9060640,794
2012,10,9,6,30,9491431,795
2012,10,9,6,45,9874615,796
2012,10,9,7,0,10153018,797
2012,10,9,7,15,10347266,798
2012,10,9,7,30,10612066,799
2012,10,9,7,45,10839614,800
2012,10,9,8,0,10642485,801
2012,10,9,8,15,10552698,802
2012,10,9,8,30,10564204,803
2012,10,9,8,45,10591217,804
2012,10,9,9,0,10573375,805
2012,10,9,9,15,10533624,806
2012,10,9,9,30,10447212,807
2012,10,9,9,45,10383273,808
2012,10,9,10,0,10247033,809
2012,10,9,10,15,10171963,810
2012,10,9,10,30,10099743,811
2012,10,9,10,45,10098621,812
2012,10,9,11,0,10060779,813
2012,10,9,11,15,9975119,814
2012,10,9,11,30,9888418,815
