,LT_P2HT_OTH,LT_STUR_BIO_CHP,LT_COMC_GAS_CHP
2016-02-10 07:00:00,840.5784918597249,638.8722839073722,1273.3035489593804
2016-02-10 08:00:00,808.5419250193361,614.5232494934796,1224.7747385634693
2016-02-10 09:00:00,776.9412298366396,590.5054944593679,1176.9061840913123
2016-02-10 10:00:00,759.9422351866374,577.5855986479147,1151.1562030649106
2016-02-10 11:00:00,747.519892942405,568.1441363241604,1132.3389092379246
2016-02-10 12:00:00,756.8911335827909,575.2666429894488,1146.5344115986331
2016-02-10 13:00:00,767.3520533674077,583.2173481041892,1162.3805537687267
2016-02-10 14:00:00,795.247839459719,604.4192284101637,1204.6369328889757
2016-02-10 15:00:00,810.2854116501054,615.848367012603,1227.4157622584848
2016-02-10 16:00:00,810.2854116501054,615.848367012603,1227.4157622584848
2016-02-10 17:00:00,800.9141710097197,608.7258603473148,1213.2202598977763
2016-02-10 18:00:00,770.6210908001002,585.7019434525455,1167.3324731968808
2016-02-10 19:00:00,695.4332298481675,528.5562504403487,1053.4383263493346
2016-02-10 20:00:00,572.2994865500746,434.96982565225807,866.9160278888601
2016-02-10 21:00:00,480.76643843467804,365.4011558982793,728.2622839005428
2016-02-10 22:00:00,480.98437426352416,365.56679558816967,728.5924118624196
2016-02-10 23:00:00,492.752909021218,374.51133884225266,746.4193218037748
2016-02-11 00:00:00,505.17525126545036,383.95280116600696,765.2366156307608
2016-02-11 01:00:00,537.2118181058391,408.3018355798995,813.7654260266717
2016-02-11 02:00:00,608.0409624808483,462.1347347942879,921.0570136366792
2016-02-11 03:00:00,799.3886202077963,607.5663825180818,1210.9093641646377
2016-02-11 04:00:00,943.2262672462766,716.8885778457627,1428.793819003422
2016-02-11 05:00:00,902.2543314231943,685.7483161463628,1366.7297621705561
2016-02-11 06:00:00,898.9852939905015,683.2637207980063,1361.7778427424018
2016-02-11 07:00:00,865.859048005882,658.0864879346617,1311.5983925371063
2016-02-11 08:00:00,833.604545336647,633.5718138308786,1262.7394541793183
2016-02-11 09:00:00,800.9141710097197,608.7258603473148,1213.2202598977763
2016-02-11 10:00:00,784.1331121885636,595.9716042257519,1187.8004068332514
2016-02-11 11:00:00,770.8390266289465,585.8675831424359,1167.6626011587578
2016-02-11 12:00:00,780.4282030981785,593.1557294976147,1182.1882314813433
2016-02-11 13:00:00,790.8891228827953,601.1064346123552,1198.034373651437
2016-02-11 14:00:00,819.220780632799,622.6395942981105,1240.95100869544
2016-02-11 15:00:00,834.4762886520316,634.2343725904403,1264.059966026826
2016-02-11 16:00:00,834.0404169943394,633.9030932106596,1263.3997101030723
