,SE_P2HT_OTH,SE_STUR_BIO_CHP,SE_COMC_GAS_CHP,SE_GTUR_GAS_CHP
2016-08-08 14:00:00,796.86159193901,662.3971032913122,59.50102639470811,63.16692295061078
2016-08-08 15:00:00,841.8288471271694,699.7764673878036,62.858695863175896,66.73146059743003
2016-08-08 16:00:00,887.8418524359836,738.0251190214226,66.29445066811967,70.3788944685939
2016-08-08 17:00:00,963.1358611231343,800.6138216946175,71.91659489439131,76.34742262140752
2016-08-08 18:00:00,989.279614139506,822.3460101228102,73.86872830629117,78.41982823002336
2016-08-08 19:00:00,906.1424795474438,753.2376509211575,67.66094405644958,71.829578394625
2016-08-08 20:00:00,689.1493295115586,572.8604869671585,51.45823673768064,54.62861184311353
2016-08-08 21:00:00,437.6464254940626,363.7968342879451,32.678713315203865,34.69206988822915
2016-08-08 22:00:00,340.3916642731598,282.95309333506844,25.41677702293634,26.98272102417823
2016-08-08 23:00:00,369.67266765149617,307.2931443746442,27.603166444264197,29.30381530582797
2016-08-09 00:00:00,363.9210419878944,302.5120629204418,27.173697093646226,28.847886071932482
2016-08-09 01:00:00,455.9470526055228,379.0093661876799,34.04520670353377,36.14275381426023
2016-08-09 02:00:00,695.4238302354877,578.0762121899247,51.92674875653661,55.125989189181325
2016-08-09 03:00:00,1217.2531404422673,1011.8506932166501,90.89133165805806,96.49120513715349
2016-08-09 04:00:00,1512.1546744669404,1256.9897786866632,112.9113965442886,119.86794040234014
2016-08-09 05:00:00,1468.2331693994356,1220.4797021272993,109.63181241229681,116.38629897986551
2016-08-09 06:00:00,1259.6060203287896,1047.0568384703224,94.05378778533587,99.84850222311115
2016-08-09 07:00:00,1199.9982634514618,997.507448854043,89.60292360620416,95.12341743546703
2016-08-09 08:00:00,1068.2337482489486,887.9772191759519,79.76417121022878,84.67849316804319
2016-08-09 09:00:00,981.9593632949217,816.2609973629161,73.3221309509592,77.83955465961093
2016-08-09 10:00:00,944.3123589513466,784.9666460263188,70.5110588378234,74.85529058320412
2016-08-09 11:00:00,861.1752243592845,715.858286824666,64.30327458798179,68.26504074780574
2016-08-09 12:00:00,829.2798456793109,689.3450169422711,61.92167182546395,65.73670590529441
2016-08-09 13:00:00,790.0642161547535,656.7467342999821,58.99347170761415,62.628097492370664
2016-08-09 14:00:00,836.0772214635676,694.9953859336011,62.42922651255792,66.27553136353454
2016-08-09 15:00:00,881.5673517120543,732.8093937986565,65.8259386492637,69.8815171225261
2016-08-09 16:00:00,942.7437337703644,783.6627147206272,70.3939308331094,74.73094624668717
2016-08-09 17:00:00,1017.5148673971875,845.8167736252581,75.97703239114303,80.65802628732845
2016-08-09 18:00:00,1037.3841196896299,862.3332368306847,77.46065378418693,82.2330545498765
2016-08-09 19:00:00,952.6783599165856,791.9209463233404,71.13574152963135,75.51846037796119
2016-08-09 20:00:00,725.2277086741515,602.8509069980643,54.15218084610246,57.48853158300338
2016-08-09 21:00:00,458.0385528468325,380.74794126193535,34.201377376485766,36.308546262949505
2016-08-09 22:00:00,366.53541728953155,304.68528176326106,27.368910434836216,29.05512663279407
2016-08-09 23:00:00,376.9929184960802,313.3781571345381,28.149763799596162,29.884088876240405
2016-08-10 00:00:00,404.18242163310674,335.97963309985846,30.179982547972024,32.03939070920087
2016-08-10 01:00:00,471.63330441534583,392.0486792445955,35.216486750673695,37.38619717942974
2016-08-10 02:00:00,734.1165846997178,610.2398510636497,54.815906206148405,58.19314948993276
2016-08-10 03:00:00,1285.7497733451614,1068.789026898515,96.00592119723574,101.92090783172698
2016-08-10 04:00:00,1584.8343078524538,1317.4052625170389,118.33832742937028,125.6292279942922
2016-08-10 05:00:00,1502.7429233810462,1249.1661908525139,112.20862851600467,119.12187438323843
2016-08-10 06:00:00,1327.5797781713559,1103.560528383623,99.12933465627552,105.23675680551231
2016-08-10 07:00:00,1276.8608973195946,1061.4000828329292,95.34219583718976,101.2162899247976
2016-08-10 08:00:00,1118.4297540403822,929.7030209580818,83.51226736107654,88.65751193658559
2016-08-10 09:00:00,1072.9396237918954,891.8890130930266,80.11555522437077,85.05152617759404
2016-08-10 10:00:00,1018.0377424575147,846.251417393822,76.01607505938102,80.69947439950077
2016-08-10 11:00:00,920.2601061762846,764.9730326723815,68.7150960988755,72.94867742327753
2016-08-10 12:00:00,851.7634732733906,708.0346989905167,63.60050655969784,67.51897472870404
2016-08-10 13:00:00,816.2079691711252,678.4789227281748,60.94560511951402,64.70050310098651
2016-08-10 14:00:00,882.0902267723818,733.2440375672203,65.8649813175017,69.92296523469842
2016-08-10 15:00:00,959.475735700842,797.5713153146705,71.64329621672532,76.0572858362013
2016-08-10 16:00:00,997.6456151047449,829.3003104198318,74.49341099809914,79.08299802478042
2016-08-10 17:00:00,1089.1487506620458,905.3629699185059,81.32587793974866,86.33641765493584
