,SK_P2HT_OTH,SK_STUR_BIO_CHP,SK_COMC_GAS_CHP
2016-12-15 05:00:00,2797.612087897442,1858.3900207829786,891.1132476705267
2016-12-15 06:00:00,2742.756948919061,1821.951000767626,873.6404388926733
2016-12-15 07:00:00,2765.3877685872726,1836.9841390699241,880.8489519310702
2016-12-15 08:00:00,2632.800683791992,1748.9095570597221,838.616467934375
2016-12-15 09:00:00,2508.5771627871377,1666.3907000742824,799.0479996257831
2016-12-15 10:00:00,2420.0217814767466,1607.565376282682,770.8407746929255
2016-12-15 11:00:00,2346.2256303847535,1558.544273123015,747.3347539155442
2016-12-15 12:00:00,2299.4880680264914,1527.4975744552257,732.4476074232025
2016-12-15 13:00:00,2312.77137522305,1536.321373023966,736.6786911631314
2016-12-15 14:00:00,2340.321938297394,1554.6225848702413,745.4542722533535
2016-12-15 15:00:00,2398.8668848303755,1593.5126600435776,764.1023820700763
2016-12-15 16:00:00,2442.898588315264,1622.761918262179,778.1276411339138
2016-12-15 17:00:00,2410.428281834787,1601.1926328719253,767.7849919918659
2016-12-15 18:00:00,2379.679885546457,1580.7671732220638,757.9908166679569
2016-12-15 19:00:00,2288.6646325329993,1520.3078126584749,729.0000577091868
2016-12-15 20:00:00,2090.6449604361524,1388.767852513368,665.9255686232134
2016-12-15 21:00:00,1784.882907744996,1185.6570817551474,568.5322892022633
2016-12-15 22:00:00,1552.4250318052193,1031.2406068021962,494.48832375351213
2016-12-15 23:00:00,1577.2697360061902,1047.7443781992843,502.4020174152306
2016-12-16 00:00:00,1598.670619822868,1061.9604981155876,509.2187634406711
2016-12-16 01:00:00,1627.6971059190519,1081.2421320250567,518.4644649464411
2016-12-16 02:00:00,1730.5197431072284,1149.5448690941928,551.2161872295925
2016-12-16 03:00:00,1859.171033177602,1235.0049922692124,592.1950167848273
2016-12-16 04:00:00,2376.9740266730837,1578.9697327728761,757.1289292394529
2016-12-16 05:00:00,2901.418673766845,1927.3463725609106,924.1783835640433
2016-12-16 06:00:00,2817.045074351667,1871.298911281691,897.3031664752372
2016-12-16 07:00:00,2817.7830358625874,1871.7891223132876,897.5382266830109
2016-12-16 08:00:00,2674.864489914428,1776.8515858607327,852.0148997774825
2016-12-16 09:00:00,2552.1168919314136,1695.3131509384862,812.916551884438
2016-12-16 10:00:00,2464.053484961635,1636.8146345012833,784.8660337567629
2016-12-16 11:00:00,2386.5675263150433,1585.342476183633,760.1847119405126
2016-12-16 12:00:00,2338.8460152755547,1553.6421628070482,744.9841518378059
2016-12-16 13:00:00,2348.1935277472066,1559.851502540606,747.9615811362742
2016-12-16 14:00:00,2391.4872697211763,1588.610549727611,761.7517799923381
2016-12-16 15:00:00,2450.52419059477,1627.8274322553445,780.5565966142432
2016-12-16 16:00:00,2501.6895220185515,1661.8153971127135,796.8541043532274
2016-12-16 17:00:00,2458.641767214889,1633.2197536029078,783.142258899755
2016-12-16 18:00:00,2436.2569347169847,1618.3500189778088,776.0120992639494
2016-12-16 19:00:00,2348.4395149175134,1560.0149062178052,748.0399345388656
2016-12-16 20:00:00,2160.9972911438517,1435.5013041922507,688.334641764317
2016-12-16 21:00:00,1875.898160758454,1246.116442318737,597.5230481610338
2016-12-16 22:00:00,1627.451118748745,1081.0787283478578,518.3861115438499
2016-12-16 23:00:00,1708.3808977796305,1134.8385381462926,544.1643809963781
2016-12-17 00:00:00,1713.54662835607,1138.2700153674693,545.8098024507948
2016-12-17 01:00:00,1738.145345386734,1154.6103830873585,553.645142709922
2016-12-17 02:00:00,1841.7059440858304,1223.403331188091,586.6319252008469
2016-12-17 03:00:00,1939.3628506975674,1288.2745910360507,617.7382260295817
