,FI_P2HT_OTH,FI_STUR_BIO_CHP,FI_ICEN_GAS_CHP
2016-08-22 13:00:00,1097.5592121053237,334.2621120852633,40.73819491039147
2016-08-22 14:00:00,1202.3887193158007,366.18798187211263,44.629160290663734
2016-08-22 15:00:00,1257.38124768851,382.93597913734504,46.67032245736393
2016-08-22 16:00:00,1349.6083004802413,411.0237662175785,50.093521507767385
2016-08-22 17:00:00,1359.9193995501244,414.16401570480963,50.47623941402368
2016-08-22 18:00:00,1248.7886651302742,380.31910456465243,46.35139086881702
2016-08-22 19:00:00,935.4458211732742,284.89041181379696,34.72101893980651
2016-08-22 20:00:00,610.6462004719597,185.9725529660181,22.665404892733456
2016-08-22 21:00:00,448.53280953991043,136.6008526945518,16.6482289221485
2016-08-22 22:00:00,469.7278465168921,143.05580997386008,17.4349268405642
2016-08-22 23:00:00,481.75746209842237,146.71943437562967,17.881431064529867
2016-08-23 00:00:00,561.3820604714076,170.96913874924743,20.836863785064534
2016-08-23 01:00:00,882.1718093122122,268.6657894631031,32.743643090815695
2016-08-23 02:00:00,1555.8302818779011,473.8287559621999,57.747879632893124
2016-08-23 03:00:00,1816.471952811055,553.2072846672078,67.42213781881595
2016-08-23 04:00:00,1725.9634165309708,525.6428725015128,64.06272508612187
2016-08-23 05:00:00,1482.506910714289,451.49809294189026,55.02633007729288
2016-08-23 06:00:00,1402.8823123413035,427.2483885682724,52.07089735675821
2016-08-23 07:00:00,1275.712090479413,388.5186448924225,47.350709846264
2016-08-23 08:00:00,1219.0010455950567,371.2472727126515,45.24576136185441
2016-08-23 09:00:00,1163.4356783851317,354.32481714257295,43.18333708925108
2016-08-23 10:00:00,1072.9271421050476,326.76040497687796,39.82392435655701
2016-08-23 11:00:00,1057.460493500223,322.0500307460313,39.249847497172574
2016-08-23 12:00:00,1025.3815186161426,312.2803656746458,38.05916956659746
2016-08-23 13:00:00,1096.9863732681079,334.08765378041716,40.716932804488344
2016-08-23 14:00:00,1185.2035541993291,360.95423272672747,43.99129711356992
2016-08-23 15:00:00,1234.4676941998812,375.95764694349816,45.81983822123885
2016-08-23 16:00:00,1312.3737760612194,399.6839764025774,48.71148462406413
2016-08-23 17:00:00,1345.5984286197313,409.80255808365536,49.9446867664455
2016-08-23 18:00:00,1227.0207893160766,373.6896889804979,45.54343084449819
2016-08-23 19:00:00,914.8236230335083,278.6099128393348,33.955583127293934
2016-08-23 20:00:00,588.8783246577624,179.34313738186364,21.857444868414632
2016-08-23 21:00:00,489.2043669822267,148.98739233862992,18.15783844127052
2016-08-23 22:00:00,511.5450816336398,155.79126622763056,18.987060571492478
2016-08-23 23:00:00,521.8561807035228,158.93151571486163,19.369778477748767
2016-08-24 00:00:00,621.5301383790585,189.28726075809536,23.069384904892875
2016-08-24 01:00:00,894.774263730958,272.5038721697189,33.21140942068449
2016-08-24 02:00:00,1491.0994932725248,454.11496751458276,55.345261665839786
2016-08-24 03:00:00,1913.8545551377274,582.8651964910567,71.03669582234755
2016-08-24 04:00:00,1841.1040228113309,560.7089917755931,68.33640837265041
2016-08-24 05:00:00,1613.1141655994736,491.2745864468171,59.87409022320584
2016-08-24 06:00:00,1518.5957574588792,462.48896614719894,56.36584274918988
2016-08-24 07:00:00,1371.9490151316545,417.82764010657917,50.92274363798934
2016-08-24 08:00:00,1286.596028386512,391.83335268449974,47.75468985842341
