,PHOT,WTOF,WTON,HE Kraljevac,HE Dale,HE Varazdin,HE Dubrava,HE Cakovec,HE Gojak,HE Lesce,HE Rijeka,HE Miljacka,mHE Hrvatska,HROR
2015-01-05 23:00:00+00:00,0,0,0.018,0.122858832,0.338188897,0.328812128,0.462160233,0.365521,0.211466,0.118123,0.118538,1,0.317068,0.323725
2015-01-06 00:00:00+00:00,0,0,0.024,0.122467263,0.337111038,0.328252938,0.462079516,0.372621,0.211294,0.118027,0.119855,1,0.317988,0.324664
2015-01-06 01:00:00+00:00,0,0,0.034,0.122075693,0.336033179,0.327693748,0.461998798,0.372621,0.211122,0.117931,0.121172,1,0.317819,0.324492
2015-01-06 02:00:00+00:00,0,0,0.058,0.121684124,0.33495532,0.327134558,0.46191808,0.372621,0.21095,0.117835,0.122489,1,0.31765,0.324319
2015-01-06 03:00:00+00:00,0,0,0.076,0.121292554,0.333877461,0.326575369,0.461837363,0.372621,0.210778,0.117739,0.123806,1,0.317481,0.324147
2015-01-06 04:00:00+00:00,0,0,0.084,0.120900984,0.332799602,0.326016179,0.461756645,0.372621,0.210606,0.117643,0.125123,1,0.317312,0.323974
2015-01-06 05:00:00+00:00,0,0,0.091,0.120509415,0.331721744,0.325456989,0.461675927,0.372621,0.210434,0.117547,0.126441,1,0.317143,0.323801
2015-01-06 06:00:00+00:00,0,0,0.106,0.120117845,0.330643885,0.324897799,0.46159521,0.372621,0.210262,0.117451,0.127758,1,0.316974,0.323629
2015-01-06 07:00:00+00:00,0.006397615,0,0.106,0.119726276,0.329566026,0.324338609,0.461514492,0.372621,0.21009,0.117355,0.129075,1,0.316805,0.323456
2015-01-06 08:00:00+00:00,0.024725918,0,0.084,0.119334706,0.328488167,0.32377942,0.461433774,0.372621,0.209918,0.117259,0.130392,1,0.316636,0.323284
2015-01-06 09:00:00+00:00,0.036310789,0,0.065,0.118943137,0.327410308,0.32322023,0.461353057,0.372621,0.209746,0.117162,0.131709,1,0.316467,0.323111
2015-01-06 10:00:00+00:00,0.048414385,0,0.046,0.118551567,0.326332449,0.32266104,0.461272339,0.372621,0.209574,0.117066,0.133026,1,0.316298,0.322938
2015-01-06 11:00:00+00:00,0.042535495,0,0.03,0.118159997,0.32525459,0.32210185,0.461191621,0.372621,0.209402,0.11697,0.134343,1,0.316129,0.322766
2015-01-06 12:00:00+00:00,0.026973729,0,0.02,0.117768428,0.324176731,0.321542661,0.461110903,0.372621,0.20923,0.116874,0.13566,1,0.31596,0.322593
2015-01-06 13:00:00+00:00,0.010893237,0,0.012,0.117376858,0.323098873,0.320983471,0.461030186,0.372621,0.209058,0.116778,0.136977,1,0.315791,0.322421
2015-01-06 14:00:00+00:00,0.003112353,0,0.007,0.116985289,0.322021014,0.320424281,0.460949468,0.372621,0.208886,0.116682,0.138294,1,0.315622,0.322248
2015-01-06 15:00:00+00:00,0,0,0.007,0.116593719,0.320943155,0.319865091,0.46086875,0.372621,0.208714,0.116586,0.139611,1,0.315453,0.322075
2015-01-06 16:00:00+00:00,0,0,0.017,0.116202149,0.319865296,0.319305902,0.460788033,0.372621,0.208542,0.11649,0.140928,1,0.315283,0.321903
2015-01-06 17:00:00+00:00,0,0,0.028,0.11581058,0.318787437,0.318746712,0.460707315,0.43356,0.20837,0.116394,0.142245,1,0.324464,0.331276
2015-01-06 18:00:00+00:00,0,0,0.033,0.11541901,0.317709578,0.318187522,0.460626597,0.485139,0.208198,0.116298,0.143562,1,0.332208,0.339183
2015-01-06 19:00:00+00:00,0,0,0.033,0.115027441,0.316631719,0.317628332,0.46054588,0.496847,0.208026,0.116202,0.144879,1,0.333835,0.340844
2015-01-06 20:00:00+00:00,0,0,0.032,0.114635871,0.31555386,0.317069142,0.460465162,0.510119,0.207854,0.116105,0.146196,1,0.335702,0.34275
2015-01-06 21:00:00+00:00,0,0,0.032,0.114244302,0.314476002,0.316509953,0.460384444,0.525244,0.207682,0.116009,0.147513,1,0.337854,0.344947
2015-01-06 22:00:00+00:00,0,0,0.033,0.113852732,0.313398143,0.315950763,0.460303727,0.538061,0.20751,0.115913,0.14883,1,0.339651,0.346782
2015-01-06 23:00:00+00:00,0,0,0.03,0.113461162,0.312320284,0.315391573,0.460223009,0.545021,0.207338,0.115817,0.150147,1,0.34055,0.3477
2015-01-07 00:00:00+00:00,0,0,0.025,0.113123055,0.311389589,0.315089934,0.460198494,0.54741,0.207104,0.115686,0.149375,1,0.340658,0.34781
2015-01-07 01:00:00+00:00,0,0,0.023,0.112784948,0.310458894,0.314788294,0.460173979,0.55127,0.20687,0.115556,0.148603,1,0.340992,0.348151
2015-01-07 02:00:00+00:00,0,0,0.03,0.112446841,0.309528199,0.314486654,0.460149464,0.561172,0.206636,0.115425,0.14783,1,0.342253,0.349439
2015-01-07 03:00:00+00:00,0,0,0.036,0.112108734,0.308597504,0.314185015,0.460124949,0.577225,0.206402,0.115294,0.147058,1,0.344458,0.35169
2015-01-07 04:00:00+00:00,0,0,0.034,0.111770627,0.30766681,0.313883375,0.460100434,0.595198,0.206168,0.115164,0.146286,1,0.346957,0.354242
2015-01-07 05:00:00+00:00,0,0,0.031,0.11143252,0.306736115,0.313581736,0.460075919,0.607618,0.205934,0.115033,0.145514,1,0.348605,0.355923
2015-01-07 06:00:00+00:00,0.003631079,0,0.028,0.111094412,0.30580542,0.313280096,0.460051404,0.613092,0.2057,0.114902,0.144742,1,0.349186,0.356517
2015-01-07 07:00:00+00:00,0.052737098,0,0.024,0.110756305,0.304874725,0.312978457,0.460026889,0.613077,0.205466,0.114772,0.14397,1,0.348926,0.356252
2015-01-07 08:00:00+00:00,0.089739521,0,0.02,0.110418198,0.30394403,0.312676817,0.460002374,0.613148,0.205232,0.114641,0.143198,1,0.348679,0.355999
2015-01-07 09:00:00+00:00,0.111353085,0,0.018,0.110080091,0.303013335,0.312375177,0.459977859,0.639995,0.204998,0.11451,0.142426,1,0.352539,0.359941
2015-01-07 10:00:00+00:00,0.120863054,0,0.019,0.109741984,0.30208264,0.312073538,0.459953344,0.664783,0.204764,0.11438,0.141654,1,0.356084,0.36356
